name,family,category,is_body,is_serif,is_italic,weight_num,weight_str,url,idx
Alegreya SC 800,Alegreya SC,Serif,1,1,0,800,Extra Bold,http://fonts.google.com/specimen/Alegreya+SC,42
Alegreya SC 800 Italic,Alegreya SC,Serif,1,1,1,800,Extra Bold,http://fonts.google.com/specimen/Alegreya+SC,43
Alegreya SC 900,Alegreya SC,Serif,1,1,0,900,Black,http://fonts.google.com/specimen/Alegreya+SC,44
Alegreya SC 900 Italic,Alegreya SC,Serif,1,1,1,900,Black,http://fonts.google.com/specimen/Alegreya+SC,45
Alegreya Sans 100,Alegreya Sans,Sans-Serif,1,0,0,100,Thin,http://fonts.google.com/specimen/Alegreya+Sans,46
Alegreya Sans 100 Italic,Alegreya Sans,Sans-Serif,1,0,1,100,Thin,http://fonts.google.com/specimen/Alegreya+Sans,47
Alegreya Sans 300,Alegreya Sans,Sans-Serif,1,0,0,300,Light,http://fonts.google.com/specimen/Alegreya+Sans,48
Alegreya Sans 300 Italic,Alegreya Sans,Sans-Serif,1,0,1,300,Light,http://fonts.google.com/specimen/Alegreya+Sans,49
Alegreya Sans 400,Alegreya Sans,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Alegreya+Sans,50
Alegreya Sans 400 Italic,Alegreya Sans,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Alegreya+Sans,51
Alegreya Sans 500,Alegreya Sans,Sans-Serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Alegreya+Sans,52
Alegreya Sans 500 Italic,Alegreya Sans,Sans-Serif,1,0,1,500,Medium,http://fonts.google.com/specimen/Alegreya+Sans,53
Alegreya Sans 700,Alegreya Sans,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Alegreya+Sans,54
Alegreya Sans 700 Italic,Alegreya Sans,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Alegreya+Sans,55
Alegreya Sans 800,Alegreya Sans,Sans-Serif,1,0,0,800,Extra Bold,http://fonts.google.com/specimen/Alegreya+Sans,56
Alegreya Sans 800 Italic,Alegreya Sans,Sans-Serif,1,0,1,800,Extra Bold,http://fonts.google.com/specimen/Alegreya+Sans,57
Alegreya Sans 900,Alegreya Sans,Sans-Serif,1,0,0,900,Black,http://fonts.google.com/specimen/Alegreya+Sans,58
Alegreya Sans 900 Italic,Alegreya Sans,Sans-Serif,1,0,1,900,Black,http://fonts.google.com/specimen/Alegreya+Sans,59
Alegreya Sans SC 100,Alegreya Sans SC,Sans-Serif,1,0,0,100,Thin,http://fonts.google.com/specimen/Alegreya+Sans+SC,60
Alegreya Sans SC 100 Italic,Alegreya Sans SC,Sans-Serif,1,0,1,100,Thin,http://fonts.google.com/specimen/Alegreya+Sans+SC,61
Alegreya Sans SC 300,Alegreya Sans SC,Sans-Serif,1,0,0,300,Light,http://fonts.google.com/specimen/Alegreya+Sans+SC,62
Alegreya Sans SC 300 Italic,Alegreya Sans SC,Sans-Serif,1,0,1,300,Light,http://fonts.google.com/specimen/Alegreya+Sans+SC,63
Alegreya Sans SC 400,Alegreya Sans SC,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Alegreya+Sans+SC,64
Alegreya Sans SC 400 Italic,Alegreya Sans SC,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Alegreya+Sans+SC,65
Alegreya Sans SC 500,Alegreya Sans SC,Sans-Serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Alegreya+Sans+SC,66
Alegreya Sans SC 500 Italic,Alegreya Sans SC,Sans-Serif,1,0,1,500,Medium,http://fonts.google.com/specimen/Alegreya+Sans+SC,67
Alegreya Sans SC 700,Alegreya Sans SC,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Alegreya+Sans+SC,68
Alegreya Sans SC 700 Italic,Alegreya Sans SC,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Alegreya+Sans+SC,69
Alegreya Sans SC 800,Alegreya Sans SC,Sans-Serif,1,0,0,800,Extra Bold,http://fonts.google.com/specimen/Alegreya+Sans+SC,70
Alegreya Sans SC 800 Italic,Alegreya Sans SC,Sans-Serif,1,0,1,800,Extra Bold,http://fonts.google.com/specimen/Alegreya+Sans+SC,71
Alegreya Sans SC 900,Alegreya Sans SC,Sans-Serif,1,0,0,900,Black,http://fonts.google.com/specimen/Alegreya+Sans+SC,72
Alegreya Sans SC 900 Italic,Alegreya Sans SC,Sans-Serif,1,0,1,900,Black,http://fonts.google.com/specimen/Alegreya+Sans+SC,73
Aleo 300,Aleo,Serif,1,1,0,300,Light,http://fonts.google.com/specimen/Aleo,74
Aleo 300 Italic,Aleo,Serif,1,1,1,300,Light,http://fonts.google.com/specimen/Aleo,75
Aleo 400,Aleo,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Aleo,76
Aleo 400 Italic,Aleo,Serif,1,1,1,400,Regular,http://fonts.google.com/specimen/Aleo,77
Aleo 700,Aleo,Serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Aleo,78
Aleo 700 Italic,Aleo,Serif,1,1,1,700,Bold,http://fonts.google.com/specimen/Aleo,79
Alex Brush,Alex Brush,Handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Alex+Brush,80
Alfa Slab One,Alfa Slab One,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Alfa+Slab+One,81
Alice,Alice,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Alice,82
Alike,Alike,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Alike,83
Alike Angular,Alike Angular,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Alike+Angular,84
Allan 400,Allan,Display,0,0,0,400,Regular,http://fonts.google.com/specimen/Allan,85
Allan 700,Allan,Display,0,0,0,700,Bold,http://fonts.google.com/specimen/Allan,86
Allerta,Allerta,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Allerta,87
Allerta Stencil,Allerta Stencil,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Allerta+Stencil,88
Allura,Allura,Handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Allura,89
Almendra 400,Almendra,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Almendra,90
Almendra 400 Italic,Almendra,Serif,1,1,1,400,Regular,http://fonts.google.com/specimen/Almendra,91
Almendra 700,Almendra,Serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Almendra,92
Almendra 700 Italic,Almendra,Serif,1,1,1,700,Bold,http://fonts.google.com/specimen/Almendra,93
Almendra Display,Almendra Display,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Almendra+Display,94
Almendra SC,Almendra SC,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Almendra+SC,95
Amarante,Amarante,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Amarante,96
Amaranth 400,Amaranth,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Amaranth,97
Amaranth 400 Italic,Amaranth,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Amaranth,98
Amaranth 700,Amaranth,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Amaranth,99
Amaranth 700 Italic,Amaranth,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Amaranth,100
Amatic SC 400,Amatic SC,Handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Amatic+SC,101
Amatic SC 700,Amatic SC,Handwriting,1,0,0,700,Bold,http://fonts.google.com/specimen/Amatic+SC,102
Amethysta,Amethysta,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Amethysta,103
Amiko 400,Amiko,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Amiko,104
Amiko 600,Amiko,Sans-Serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Amiko,105
Amiko 700,Amiko,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Amiko,106
Amiri 400,Amiri,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Amiri,107
Amiri 400 Italic,Amiri,Serif,1,1,1,400,Regular,http://fonts.google.com/specimen/Amiri,108
Amiri 700,Amiri,Serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Amiri,109
Amiri 700 Italic,Amiri,Serif,1,1,1,700,Bold,http://fonts.google.com/specimen/Amiri,110
Amita 400,Amita,Handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Amita,111
Amita 700,Amita,Handwriting,1,0,0,700,Bold,http://fonts.google.com/specimen/Amita,112
Anaheim,Anaheim,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Anaheim,113
Andada,Andada,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Andada,114
Andika,Andika,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Andika,115
Annie Use Your Telescope,Annie Use Your Telescope,Handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Annie+Use+Your+Telescope,116
Anonymous Pro 400,Anonymous Pro,Monospace,1,1,0,400,Regular,http://fonts.google.com/specimen/Anonymous+Pro,117
Anonymous Pro 400 Italic,Anonymous Pro,Monospace,1,1,1,400,Regular,http://fonts.google.com/specimen/Anonymous+Pro,118
Anonymous Pro 700,Anonymous Pro,Monospace,1,1,0,700,Bold,http://fonts.google.com/specimen/Anonymous+Pro,119
Anonymous Pro 700 Italic,Anonymous Pro,Monospace,1,1,1,700,Bold,http://fonts.google.com/specimen/Anonymous+Pro,120
Antic,Antic,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Antic,121
Antic Didone,Antic Didone,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Antic+Didone,122
Antic Slab,Antic Slab,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Antic+Slab,123
Anton,Anton,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Anton,124
Arapey 400,Arapey,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Arapey,125
Arapey 400 Italic,Arapey,Serif,1,1,1,400,Regular,http://fonts.google.com/specimen/Arapey,126
Arbutus,Arbutus,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Arbutus,127
Arbutus Slab,Arbutus Slab,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Arbutus+Slab,128
Architects Daughter,Architects Daughter,Handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Architects+Daughter,129
Archivo 400,Archivo,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Archivo,130
Archivo 400 Italic,Archivo,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Archivo,131
Archivo 500,Archivo,Sans-Serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Archivo,132
Archivo 500 Italic,Archivo,Sans-Serif,1,0,1,500,Medium,http://fonts.google.com/specimen/Archivo,133
Archivo 600,Archivo,Sans-Serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Archivo,134
Archivo 600 Italic,Archivo,Sans-Serif,1,0,1,600,Semi Bold,http://fonts.google.com/specimen/Archivo,135
Archivo 700,Archivo,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Archivo,136
Archivo 700 Italic,Archivo,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Archivo,137
Archivo Black,Archivo Black,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Archivo+Black,138
Archivo Narrow 400,Archivo Narrow,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Archivo+Narrow,139
Archivo Narrow 400 Italic,Archivo Narrow,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Archivo+Narrow,140
Archivo Narrow 500,Archivo Narrow,Sans-Serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Archivo+Narrow,141
Archivo Narrow 500 Italic,Archivo Narrow,Sans-Serif,1,0,1,500,Medium,http://fonts.google.com/specimen/Archivo+Narrow,142
Archivo Narrow 600,Archivo Narrow,Sans-Serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Archivo+Narrow,143
Archivo Narrow 600 Italic,Archivo Narrow,Sans-Serif,1,0,1,600,Semi Bold,http://fonts.google.com/specimen/Archivo+Narrow,144
Archivo Narrow 700,Archivo Narrow,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Archivo+Narrow,145
Archivo Narrow 700 Italic,Archivo Narrow,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Archivo+Narrow,146
Aref Ruqaa 400,Aref Ruqaa,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Aref+Ruqaa,147
Aref Ruqaa 700,Aref Ruqaa,Serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Aref+Ruqaa,148
Arima Madurai 100,Arima Madurai,Display,0,1,0,100,Thin,http://fonts.google.com/specimen/Arima+Madurai,149
Arima Madurai 200,Arima Madurai,Display,0,1,0,200,Extra Light,http://fonts.google.com/specimen/Arima+Madurai,150
Arima Madurai 300,Arima Madurai,Display,0,1,0,300,Light,http://fonts.google.com/specimen/Arima+Madurai,151
Arima Madurai 400,Arima Madurai,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Arima+Madurai,152
Arima Madurai 500,Arima Madurai,Display,0,1,0,500,Medium,http://fonts.google.com/specimen/Arima+Madurai,153
Arima Madurai 700,Arima Madurai,Display,0,1,0,700,Bold,http://fonts.google.com/specimen/Arima+Madurai,154
Arima Madurai 800,Arima Madurai,Display,0,1,0,800,Extra Bold,http://fonts.google.com/specimen/Arima+Madurai,155
Arima Madurai 900,Arima Madurai,Display,0,1,0,900,Black,http://fonts.google.com/specimen/Arima+Madurai,156
Arimo 400,Arimo,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Arimo,157
Arimo 400 Italic,Arimo,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Arimo,158
Arimo 700,Arimo,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Arimo,159
Arimo 700 Italic,Arimo,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Arimo,160
Arizonia,Arizonia,Handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Arizonia,161
Armata,Armata,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Armata,162
Arsenal 400,Arsenal,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Arsenal,163
Arsenal 400 Italic,Arsenal,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Arsenal,164
Arsenal 700,Arsenal,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Arsenal,165
Arsenal 700 Italic,Arsenal,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Arsenal,166
Artifika,Artifika,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Artifika,167
Arvo 400,Arvo,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Arvo,168
Arvo 400 Italic,Arvo,Serif,1,1,1,400,Regular,http://fonts.google.com/specimen/Arvo,169
Arvo 700,Arvo,Serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Arvo,170
Arvo 700 Italic,Arvo,Serif,1,1,1,700,Bold,http://fonts.google.com/specimen/Arvo,171
Arya 400,Arya,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Arya,172
Arya 700,Arya,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Arya,173
Asap 400,Asap,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Asap,174
Asap 400 Italic,Asap,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Asap,175
Asap 500,Asap,Sans-Serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Asap,176
Asap 500 Italic,Asap,Sans-Serif,1,0,1,500,Medium,http://fonts.google.com/specimen/Asap,177
Asap 600,Asap,Sans-Serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Asap,178
Asap 600 Italic,Asap,Sans-Serif,1,0,1,600,Semi Bold,http://fonts.google.com/specimen/Asap,179
Asap 700,Asap,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Asap,180
Asap 700 Italic,Asap,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Asap,181
Asap Condensed 400,Asap Condensed,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Asap+Condensed,182
Asap Condensed 400 Italic,Asap Condensed,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/Asap+Condensed,183
Asap Condensed 500,Asap Condensed,Sans-Serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Asap+Condensed,184
Asap Condensed 500 Italic,Asap Condensed,Sans-Serif,1,0,1,500,Medium,http://fonts.google.com/specimen/Asap+Condensed,185
Asap Condensed 600,Asap Condensed,Sans-Serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Asap+Condensed,186
Asap Condensed 600 Italic,Asap Condensed,Sans-Serif,1,0,1,600,Semi Bold,http://fonts.google.com/specimen/Asap+Condensed,187
Asap Condensed 700,Asap Condensed,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Asap+Condensed,188
Asap Condensed 700 Italic,Asap Condensed,Sans-Serif,1,0,1,700,Bold,http://fonts.google.com/specimen/Asap+Condensed,189
Asar,Asar,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Asar,190
Asset,Asset,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Asset,191
Assistant 200,Assistant,Sans-Serif,1,0,0,200,Extra Light,http://fonts.google.com/specimen/Assistant,192
Assistant 300,Assistant,Sans-Serif,1,0,0,300,Light,http://fonts.google.com/specimen/Assistant,193
Assistant 400,Assistant,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Assistant,194
Assistant 600,Assistant,Sans-Serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Assistant,195
Assistant 700,Assistant,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Assistant,196
Assistant 800,Assistant,Sans-Serif,1,0,0,800,Extra Bold,http://fonts.google.com/specimen/Assistant,197
Astloch 400,Astloch,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Astloch,198
Astloch 700,Astloch,Display,0,1,0,700,Bold,http://fonts.google.com/specimen/Astloch,199
Asul 400,Asul,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Asul,200
Asul 700,Asul,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Asul,201
Athiti 200,Athiti,Sans-Serif,1,0,0,200,Extra Light,http://fonts.google.com/specimen/Athiti,202
Athiti 300,Athiti,Sans-Serif,1,0,0,300,Light,http://fonts.google.com/specimen/Athiti,203
Athiti 400,Athiti,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Athiti,204
Athiti 500,Athiti,Sans-Serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Athiti,205
Athiti 600,Athiti,Sans-Serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Athiti,206
Athiti 700,Athiti,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Athiti,207
Atma 300,Atma,Display,0,0,0,300,Light,http://fonts.google.com/specimen/Atma,208
Atma 400,Atma,Display,0,0,0,400,Regular,http://fonts.google.com/specimen/Atma,209
Atma 500,Atma,Display,0,0,0,500,Medium,http://fonts.google.com/specimen/Atma,210
Atma 600,Atma,Display,0,0,0,600,Semi Bold,http://fonts.google.com/specimen/Atma,211
Atma 700,Atma,Display,0,0,0,700,Bold,http://fonts.google.com/specimen/Atma,212
Atomic Age,Atomic Age,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Atomic+Age,213
Aubrey,Aubrey,Display,0,0,0,400,Regular,http://fonts.google.com/specimen/Aubrey,214
Audiowide,Audiowide,Display,0,0,0,400,Regular,http://fonts.google.com/specimen/Audiowide,215
Autour One,Autour One,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Autour+One,216
Average,Average,Serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Average,217
Average Sans,Average Sans,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Average+Sans,218
Averia Gruesa Libre,Averia Gruesa Libre,Display,0,0,0,400,Regular,http://fonts.google.com/specimen/Averia+Gruesa+Libre,219
Averia Libre 300,Averia Libre,Display,0,0,0,300,Light,http://fonts.google.com/specimen/Averia+Libre,220
Averia Libre 300 Italic,Averia Libre,Display,0,0,1,300,Light,http://fonts.google.com/specimen/Averia+Libre,221
Averia Libre 400,Averia Libre,Display,0,0,0,400,Regular,http://fonts.google.com/specimen/Averia+Libre,222
Averia Libre 400 Italic,Averia Libre,Display,0,0,1,400,Regular,http://fonts.google.com/specimen/Averia+Libre,223
Averia Libre 700,Averia Libre,Display,0,0,0,700,Bold,http://fonts.google.com/specimen/Averia+Libre,224
Averia Libre 700 Italic,Averia Libre,Display,0,0,1,700,Bold,http://fonts.google.com/specimen/Averia+Libre,225
Averia Sans Libre 300,Averia Sans Libre,Display,0,0,0,300,Light,http://fonts.google.com/specimen/Averia+Sans+Libre,226
Averia Sans Libre 300 Italic,Averia Sans Libre,Display,0,0,1,300,Light,http://fonts.google.com/specimen/Averia+Sans+Libre,227
Averia Sans Libre 400,Averia Sans Libre,Display,0,0,0,400,Regular,http://fonts.google.com/specimen/Averia+Sans+Libre,228
Averia Sans Libre 400 Italic,Averia Sans Libre,Display,0,0,1,400,Regular,http://fonts.google.com/specimen/Averia+Sans+Libre,229
Averia Sans Libre 700,Averia Sans Libre,Display,0,0,0,700,Bold,http://fonts.google.com/specimen/Averia+Sans+Libre,230
Averia Sans Libre 700 Italic,Averia Sans Libre,Display,0,0,1,700,Bold,http://fonts.google.com/specimen/Averia+Sans+Libre,231
Averia Serif Libre 300,Averia Serif Libre,Display,0,1,0,300,Light,http://fonts.google.com/specimen/Averia+Serif+Libre,232
Averia Serif Libre 300 Italic,Averia Serif Libre,Display,0,1,1,300,Light,http://fonts.google.com/specimen/Averia+Serif+Libre,233
Averia Serif Libre 400,Averia Serif Libre,Display,0,1,0,400,Regular,http://fonts.google.com/specimen/Averia+Serif+Libre,234
Averia Serif Libre 400 Italic,Averia Serif Libre,Display,0,1,1,400,Regular,http://fonts.google.com/specimen/Averia+Serif+Libre,235
Averia Serif Libre 700,Averia Serif Libre,Display,0,1,0,700,Bold,http://fonts.google.com/specimen/Averia+Serif+Libre,236
Averia Serif Libre 700 Italic,Averia Serif Libre,Display,0,1,1,700,Bold,http://fonts.google.com/specimen/Averia+Serif+Libre,237
B612 400,B612,Sans-Serif,1,0,0,400,Regular,http://fonts.google.com/specimen/B612,238
B612 400 Italic,B612,Sans-Serif,1,0,1,400,Regular,http://fonts.google.com/specimen/B612,239
B612 700,B612,Sans-Serif,1,0,0,700,Bold,http://fonts.google.com/specimen/B612,240
